com.flashforceapp.mapleleafsalt1,published,managed_by_android,false,en_US; NA Pro Hockey Blue Alternate Toronto; Flash Force Pattern,true,990000
com.flashforceapp.wilddefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.wildaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.wildalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.starsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Dallas; Flash Force Pattern,true,990000
com.flashforceapp.starsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Dallas; Flash Force Pattern,true,990000
com.flashforceapp.wjetsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Winnipeg; Flash Force Pattern,true,990000
com.flashforceapp.wjetsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Winnipeg; Flash Force Pattern,true,990000
com.flashforceapp.devilsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home New Jersey; Flash Force Pattern,true,990000
com.flashforceapp.devilsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away New Jersey; Flash Force Pattern,true,990000
com.flashforceapp.lightningdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Tampa Bay; Flash Force Pattern,true,990000
com.flashforceapp.lightningaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Tampa Bay; Flash Force Pattern,true,990000
com.flashforceapp.lightningalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate Tampa Bay; Flash Force Pattern,true,990000
com.flashforceapp.kingsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Los Angeles; Flash Force Pattern,true,990000
com.flashforceapp.kingsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Los Angeles; Flash Force Pattern,true,990000
com.flashforceapp.flamesdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Calgary; Flash Force Pattern,true,990000
com.flashforceapp.flamesaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Calgary; Flash Force Pattern,true,990000
com.flashforceapp.blackhawksdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Chicago; Flash Force Pattern,true,990000
com.flashforceapp.blackhawksaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Chicago; Flash Force Pattern,true,990000
com.flashforceapp.avalancedefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Colorado; Flash Force Pattern,true,990000
com.flashforceapp.avalanceaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Colorado; Flash Force Pattern,true,990000
com.flashforceapp.avalancealt1,published,managed_by_android,false,en_US; NA Pro Hockey Blue Alternate Colorado; Flash Force Pattern,true,990000
com.flashforceapp.coyotesdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Arizona; Flash Force Pattern,true,990000
com.flashforceapp.coyotesaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Arizona; Flash Force Pattern,true,990000
com.flashforceapp.senatorsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Ottawa; Flash Force Pattern,true,990000
com.flashforceapp.senatorsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Ottawa; Flash Force Pattern,true,990000
com.flashforceapp.senatorsalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate Ottawa; Flash Force Pattern,true,990000
com.flashforceapp.islandersdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home New York (Brooklyn); Flash Force Pattern,true,990000
com.flashforceapp.islandersaway,published,managed_by_android,false,en_US; NA Pro Hockey Away New York (Brooklyn); Flash Force Pattern,true,990000
com.flashforceapp.canucksdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Vancouver; Flash Force Pattern,true,990000
com.flashforceapp.canucksaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Vancouver; Flash Force Pattern,true,990000
