com.flashforceapp.flpanthersdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Florida; Flash Force Pattern,true,990000
com.flashforceapp.flpanthersaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Florida; Flash Force Pattern,true,990000
com.flashforceapp.ducksdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Anaheim; Flash Force Pattern,true,990000
com.flashforceapp.ducksaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Anaheim; Flash Force Pattern,true,990000
com.flashforceapp.sabresdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Buffalo; Flash Force Pattern,true,990000
com.flashforceapp.sabresaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Buffalo; Flash Force Pattern,true,990000
com.flashforceapp.sabresalt1,published,managed_by_android,false,en_US; NA Pro Hockey Yellow Alternate Buffalo; Flash Force Pattern,true,990000
com.flashforceapp.canadiensdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Montreal; Flash Force Pattern,true,990000
com.flashforceapp.canadiensaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Montreal; Flash Force Pattern,true,990000
com.flashforceapp.oilsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Edmonton; Flash Force Pattern,true,990000
com.flashforceapp.oilsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Edmonton; Flash Force Pattern,true,990000
com.flashforceapp.penguinsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.penguinsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.pengiunsalt1,published,managed_by_android,false,en_US; NA Pro Hockey Yellow Alternate Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.nyrangersdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home New York (Manhattan); Flash Force Pattern,true,990000
com.flashforceapp.nyrangersaway,published,managed_by_android,false,en_US; NA Pro Hockey Away New York (Manhattan); Flash Force Pattern,true,990000
com.flashforceapp.nyrangersalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate New York (Manhattan); Flash Force Pattern,true,990000
com.flashforceapp.capitalsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Washington DC; Flash Force Pattern,true,990000
com.flashforceapp.capitalsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Washington DC; Flash Force Pattern,true,990000
com.flashforceapp.capitalsalt1,published,managed_by_android,false,en_US; NA Pro Hockey White Alternate Washington DC; Flash Force Pattern,true,990000
com.flashforceapp.bluesdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home St Louis; Flash Force Pattern,true,990000
com.flashforceapp.bluesaway,published,managed_by_android,false,en_US; NA Pro Hockey Away St Louis; Flash Force Pattern,true,990000
com.flashforceapp.mapleleafsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Toronto; Flash Force Pattern,true,990000
com.flashforceapp.mapleleafsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Toronto; Flash Force Pattern,true,990000
com.flashforceapp.mapleleafsalt1,published,managed_by_android,false,en_US; NA Pro Hockey Blue Alternate Toronto; Flash Force Pattern,true,990000
com.flashforceapp.wilddefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.wildaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.wildalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.starsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Dallas; Flash Force Pattern,true,990000
com.flashforceapp.starsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Dallas; Flash Force Pattern,true,990000
com.flashforceapp.wjetsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Winnipeg; Flash Force Pattern,true,990000
com.flashforceapp.wjetsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Winnipeg; Flash Force Pattern,true,990000
com.flashforceapp.devilsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home New Jersey; Flash Force Pattern,true,990000
com.flashforceapp.devilsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away New Jersey; Flash Force Pattern,true,990000
